,Name,MarketValue,Position,Teams
24,Sebastian Larsson,2250000,Central Midfield,afc-sunderland
25,Darron Gibson,1350000,Central Midfield,afc-sunderland
26,Ethan Robson,0,Central Midfield,afc-sunderland
27,Elliot Embleton,0,Central Midfield,afc-sunderland
28,George Honeyman,225000,Attacking Midfield,afc-sunderland
29,Fabio Borini,4500000,Left Winger,afc-sunderland
30,Steven Pienaar,900000,Left Winger,afc-sunderland
31,Rees Greenwood,0,Left Winger,afc-sunderland
32,Jeremain Lens,9900000,Right Winger,afc-sunderland
33,Adnan Januzaj,6300000,Right Winger,afc-sunderland
34,Duncan Watmore,2700000,Right Winger,afc-sunderland
35,Will Buckley,1800000,Right Winger,afc-sunderland
36,Lynden Gooch,675000,Right Winger,afc-sunderland
37,Wahbi Khazri,6300000,Centre-Forward,afc-sunderland
38,Jermain Defoe,4500000,Centre-Forward,afc-sunderland
39,Victor Anichebe,1350000,Centre-Forward,afc-sunderland
40,Joel Asoro,0,Centre-Forward,afc-sunderland
41,Josh Maja,0,Centre-Forward,afc-sunderland
0,Artur Boruc,900000,Goalkeeper,afc-bournemouth
1,Adam Federici,900000,Goalkeeper,afc-bournemouth
2,Aaron Ramsdale,450000,Goalkeeper,afc-bournemouth
3,Ryan Allsop,225000,Goalkeeper,afc-bournemouth
4,Jordan Holmes,0,Goalkeeper,afc-bournemouth
5,Nathan Ak??,7200000,Centre-Back,afc-bournemouth
6,Steve Cook,4500000,Centre-Back,afc-bournemouth
7,Tyrone Mings,4500000,Centre-Back,afc-bournemouth
8,Marc Wilson,2250000,Centre-Back,afc-bournemouth
9,Baily Cargill,225000,Centre-Back,afc-bournemouth
10,Jack Simpson,0,Centre-Back,afc-bournemouth
11,Corey Jordan,0,Centre-Back,afc-bournemouth
12,Charlie Daniels,2700000,Left-Back,afc-bournemouth
13,Brad Smith,1800000,Left-Back,afc-bournemouth
14,Rhoys Wiggins,450000,Left-Back,afc-bournemouth
15,Callum Buckley,0,Left-Back,afc-bournemouth
16,Adam Smith,4500000,Right-Back,afc-bournemouth
17,Simon Francis,2250000,Right-Back,afc-bournemouth
18,Jordan Lee,0,Right-Back,afc-bournemouth
19,Jack Wilshere,16200000,Central Midfield,afc-bournemouth
20,Lewis Cook,5400000,Central Midfield,afc-bournemouth
21,Dan Gosling,2700000,Central Midfield,afc-bournemouth
22,Harry Arter,2250000,Central Midfield,afc-bournemouth
23,Andrew Surman,1800000,Central Midfield,afc-bournemouth
24,Emerson Hyndman,900000,Central Midfield,afc-bournemouth
25,Eunan O'Kane,900000,Central Midfield,afc-bournemouth
26,Matt Worthington,0,Central Midfield,afc-bournemouth
27,Keelan O'Connell,0,Right Midfield,afc-bournemouth
28,Ollie Harfield,0,Left Midfield,afc-bournemouth
29,Max Gradel,6300000,Left Winger,afc-bournemouth
30,Ryan Fraser,4500000,Left Winger,afc-bournemouth
31,Junior Stanislas,4050000,Left Winger,afc-bournemouth
32,Marc Pugh,1800000,Left Winger,afc-bournemouth
33,Jordon Ibe,7200000,Right Winger,afc-bournemouth
34,Harry Cornick,90000,Right Winger,afc-bournemouth
35,Joshua King,7200000,Second Striker,afc-bournemouth
36,Benik Afobe,9000000,Centre-Forward,afc-bournemouth
37,Callum Wilson,9000000,Centre-Forward,afc-bournemouth
38,Lys Mousset,3600000,Centre-Forward,afc-bournemouth
39,Lewis Grabban,2700000,Centre-Forward,afc-bournemouth
40,Sam Surridge,0,Centre-Forward,afc-bournemouth
0,Tom Heaton,3600000,Goalkeeper,fc-burnley
1,Nick Pope,675000,Goalkeeper,fc-burnley
2,Paul Robinson,225000,Goalkeeper,fc-burnley
3,Michael Keane,16200000,Centre-Back,fc-burnley
4,Ben Mee,5400000,Centre-Back,fc-burnley
5,James Tarkowski,1800000,Centre-Back,fc-burnley
6,Kevin Long,450000,Centre-Back,fc-burnley
7,Tom Anderson,225000,Centre-Back,fc-burnley
8,Stephen Ward,1350000,Left-Back,fc-burnley
9,Danny Lafferty,450000,Left-Back,fc-burnley
10,Jon Flanagan,3150000,Right-Back,fc-burnley
11,Matthew Lowton,2250000,Right-Back,fc-burnley
12,Tendayi Darikwa,450000,Right-Back,fc-burnley
13,David Jones,1350000,Midfielder,fc-burnley
14,Ashley Westwood,3600000,Defensive Midfield,fc-burnley
15,Jeff Hendrick,5400000,Central Midfield,fc-burnley
16,Steven Defour,5400000,Central Midfield,fc-burnley
17,Scott Arfield,2700000,Central Midfield,fc-burnley
18,Dean Marney,900000,Central Midfield,fc-burnley
19,Joey Barton,900000,Central Midfield,fc-burnley
20,Fredrik Ulvestad,675000,Central Midfield,fc-burnley
21,Aiden O'Neill,90000,Central Midfield,fc-burnley
22,Robbie Brady,9000000,Left Midfield,fc-burnley
23,Michael Kightly,900000,Left Midfield,fc-burnley
24,Bradley Jackson,0,Forward,fc-burnley
25,George Boyd,3600000,Left Winger,fc-burnley
26,J??hann Berg Gudmundsson,2250000,Right Winger,fc-burnley
27,Andre Gray,9000000,Centre-Forward,fc-burnley
28,Patrick Bamford,4500000,Centre-Forward,fc-burnley
29,Sam Vokes,4050000,Centre-Forward,fc-burnley
30,Ashley Barnes,2250000,Centre-Forward,fc-burnley
31,Rouwen Hennings,1350000,Centre-Forward,fc-burnley
32,Lukas Jutkiewicz,1350000,Centre-Forward,fc-burnley
33,Chris Long,900000,Centre-Forward,fc-burnley
34,Dan Agyei,68000,Centre-Forward,fc-burnley
35,Ntumba Massanka,0,Centre-Forward,fc-burnley
