Date,HomeTeam,AwayTeam,Played Value H,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2017-04-22,Swansea City,Stoke City,,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,M Oliver,10,9,6,3,5,14,11,4,2,2,0,0,Lukasz Fabianski,Alfie Mawson,Federico Fernández,Kyle Naughton,Stephen Kingsley,Leon Britton,Leroy Fer,Tom Carroll,Fernando Llorente,Jordan Ayew,Gylfi Sigurdsson,Jack Butland,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Marko Arnautovic,Geoff Cameron,Xherdan Shaqiri,Saido Berahino,Peter Crouch
2017-04-22,West Ham United,Everton,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,R East,15,4,3,0,9,15,8,4,2,3,0,0,Adrián,José Fonte,Winston Reid,James Collins,Håvard Nordtveit,Cheikhou Kouyaté,Arthur Masuaku,Edimilson Fernandes,André Ayew,Jonathan Calleri,Manuel Lanzini,Maarten Stekelenburg,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Ross Barkley,Romelu Lukaku,Kevin Mirallas
2017-04-23,Burnley,Manchester United,,,,,,,,,,,,,,,,,,,,,0,2,A,0,2,A,A Taylor,8,12,0,6,17,16,3,3,2,1,0,0,Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Robbie Brady,Jeff Hendrick,Joey Barton,George Boyd,Andre Gray,Ashley Barnes,David de Gea,Eric Bailly,Daley Blind,Ashley Young,Matteo Darmian,Paul Pogba,Ander Herrera,Marouane Fellaini,Anthony Martial,Wayne Rooney,Jesse Lingard
2017-04-23,Liverpool,Crystal Palace,,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,A Marriner,14,7,1,3,8,10,4,3,1,2,0,0,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum,Lucas Leiva,Emre Can,Philippe Coutinho,Roberto Firmino,Divock Origi,Wayne Hennessey,Joel Ward,James Tomkins,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason Puncheon,Christian Benteke
2017-04-25,Chelsea,Southampton,,,,,,,,,,,,,,,,,,,,,4,2,H,2,1,H,L Mason,17,12,7,4,13,9,6,7,2,2,0,0,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Cesc Fàbregas,Eden Hazard,Diego Costa,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,Steven Davis,James Ward-Prowse,Dusan Tadic,Sofiane Boufal,Manolo Gabbiadini
2017-04-26,Arsenal,Leicester City,,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,M Jones,12,7,5,3,9,13,12,1,2,4,0,0,Petr Cech,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Héctor Bellerín,Kieran Gibbs,Francis Coquelin,Granit Xhaka,Alexis Sánchez,Mesut Özil,Theo Walcott,Kasper Schmeichel,Danny Simpson,Robert Huth,Christian Fuchs,Yohan Benalouane,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Leonardo Ulloa
2017-04-26,Crystal Palace,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,J Moss,6,18,1,4,13,15,2,11,3,3,0,0,Wayne Hennessey,Joel Ward,Mamadou Sakho,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,Andros Townsend,Wilfried Zaha,James McArthur,Jason Puncheon,Christian Benteke,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Kyle Walker,Victor Wanyama,Mousa Dembélé,Ben Davies,Harry Kane,Dele Alli,Christian Eriksen
2017-04-26,Middlesbrough,Sunderland,,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,M Dean,6,10,2,4,15,11,3,5,3,3,0,0,Brad Guzan,George Friend,Daniel Ayala,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Cristhian Stuani,Álvaro Negredo,Stewart Downing,Jordan Pickford,Billy Jones,Jason Denayer,John O'Shea,Javier Manquillo,Lee Cattermole,Didier Ndong,Darron Gibson,Wahbi Khazri,Jermain Defoe,Victor Anichebe
2017-04-27,Manchester City,Manchester United,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Atkinson,19,3,6,1,10,8,7,4,1,0,0,1,Claudio Bravo,Vincent Kompany,Pablo Zabaleta,Aleksandar Kolarov,Nicolás Otamendi,Raheem Sterling,Kevin De Bruyne,Leroy Sané,Fernandinho,Yaya Touré,Sergio Agüero,David de Gea,Eric Bailly,Daley Blind,Luis Antonio Valencia,Matteo Darmian,Michael Carrick,Ander Herrera,Marouane Fellaini,Anthony Martial,Marcus Rashford,Henrikh Mkhitaryan
2017-04-29,Crystal Palace,Burnley,,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,R Madley,15,9,5,3,11,12,14,4,2,0,0,0,Wayne Hennessey,Joel Ward,Patrick van Aanholt,Damien Delaney,Martin Kelly,Luka Milivojevic,James McArthur,Jason Puncheon,Andros Townsend,Wilfried Zaha,Christian Benteke,Tom Heaton,Matthew Lowton,Michael Keane,James Tarkowski,Stephen Ward,Jeff Hendrick,Ashley Westwood,George Boyd,Scott Arfield,Sam Vokes,Ashley Barnes
2017-04-29,Southampton,Hull City,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Dean,11,9,2,1,9,13,6,6,0,3,0,0,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,Steven Davis,Nathan Redmond,Dusan Tadic,Sofiane Boufal,Manolo Gabbiadini,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Evandro,Alfred N'Diaye,Sam Clucas,Kamil Grosicki,Lazar Markovic,Oumar Niasse
2017-04-29,Stoke City,West Ham United,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,L Probert,19,12,4,4,12,3,5,3,1,0,0,0,Jack Butland,Marc Muniesa,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Geoff Cameron,Xherdan Shaqiri,Saido Berahino,Adrián,José Fonte,Winston Reid,James Collins,Håvard Nordtveit,Cheikhou Kouyaté,Arthur Masuaku,Edimilson Fernandes,André Ayew,Jonathan Calleri,Manuel Lanzini
2017-04-29,Sunderland,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,S Attwell,17,15,5,7,13,9,6,5,3,2,0,0,Jordan Pickford,John O'Shea,Donald Love,Javier Manquillo,Lamine Koné,Fabio Borini,Wahbi Khazri,Didier Ndong,Steven Pienaar,Jermain Defoe,Victor Anichebe,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Lewis Cook,Ryan Fraser,Benik Afobe,Joshua King
2017-04-29,West Bromwich Albion,Leicester City,,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,M Clattenburg,16,6,4,1,14,9,5,6,2,2,0,0,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,Claudio Yacob,James Morrison,Chris Brunt,Jake Livermore,Nacer Chadli,Salomón Rondón,Kasper Schmeichel,Danny Simpson,Robert Huth,Christian Fuchs,Yohan Benalouane,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki
2017-04-30,Everton,Chelsea,,,,,,,,,,,,,,,,,,,,,0,3,A,0,0,D,J Moss,12,11,4,5,13,11,2,4,3,4,0,0,Maarten Stekelenburg,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Ross Barkley,Dominic Calvert-Lewin,Idrissa Gueye,Enner Valencia,Tom Davies,Romelu Lukaku,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa
2017-04-30,Manchester United,Swansea City,,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,N Swarbrick,12,12,6,4,11,13,5,2,2,2,0,0,David de Gea,Eric Bailly,Daley Blind,Ashley Young,Luke Shaw,Anthony Martial,Wayne Rooney,Jesse Lingard,Michael Carrick,Ander Herrera,Marcus Rashford,Lukasz Fabianski,Alfie Mawson,Federico Fernández,Kyle Naughton,Stephen Kingsley,Ki Sung-Yueng,Leon Britton,Tom Carroll,Gylfi Sigurdsson,Fernando Llorente,Jordan Ayew
2017-04-30,Middlesbrough,Manchester City,,,,,,,,,,,,,,,,,,,,,2,2,D,1,0,H,K Friend,14,22,6,4,9,9,4,11,4,4,0,0,Brad Guzan,Fabio,George Friend,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Cristhian Stuani,Álvaro Negredo,Stewart Downing,Willy Caballero,Vincent Kompany,Aleksandar Kolarov,Nicolás Otamendi,Jesús Navas,Gaël Clichy,Fernandinho,Aleix García,Gabriel Jesus,Sergio Agüero,Kevin De Bruyne
2017-04-30,Tottenham Hotspur,Arsenal,,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,M Oliver,20,12,11,4,7,15,14,5,1,3,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane,Petr Cech,Gabriel Paulista,Laurent Koscielny,Nacho Monreal,Kieran Gibbs,Aaron Ramsey,Alex Oxlade-Chamberlain,Granit Xhaka,Alexis Sánchez,Mesut Özil,Olivier Giroud
2017-05-01,Watford,Liverpool,,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,C Pawson,9,12,2,8,11,9,3,5,3,1,0,0,Heurelho Gomes,Miguel Britos,Sebastian Prödl,Adrian Mariappa,Daryl Janmaat,Nordin Amrabat,Tom Cleverley,Abdoulaye Doucouré,Etienne Capoue,Troy Deeney,M'Baye Niang,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum,Lucas Leiva,Emre Can,Philippe Coutinho,Roberto Firmino,Divock Origi
2017-05-05,West Ham United,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,A Taylor,13,11,5,5,8,9,3,7,4,2,0,0,Adrián,José Fonte,Winston Reid,James Collins,Aaron Cresswell,Cheikhou Kouyaté,Mark Noble,Sam Byram,André Ayew,Jonathan Calleri,Manuel Lanzini,Hugo Lloris,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane
2017-05-06,AFC Bournemouth,Stoke City,,,,,,,,,,,,,,,,,,,,,2,2,D,0,1,A,P Tierney,12,14,2,3,10,15,0,7,2,0,0,0,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Lewis Cook,Junior Stanislas,Joshua King,Lys Mousset,Jack Butland,Marc Muniesa,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Geoff Cameron,Xherdan Shaqiri,Mame Biram Diouf
2017-05-06,Burnley,West Bromwich Albion,,,,,,,,,,,,,,,,,,,,,2,2,D,0,0,D,M Jones,14,11,4,3,9,14,5,8,1,3,0,0,Tom Heaton,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Jeff Hendrick,Ashley Westwood,George Boyd,Scott Arfield,Sam Vokes,Ashley Barnes,Ben Foster,Jonny Evans,Marc Wilson,Gareth McAuley,Craig Dawson,Jake Livermore,Chris Brunt,James McClean,Darren Fletcher,Sam Field,Salomón Rondón
2017-05-06,Hull City,Sunderland,,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,N Swarbrick,16,12,6,5,10,8,7,4,3,1,0,0,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Alfred N'Diaye,Kamil Grosicki,Sam Clucas,Lazar Markovic,Abel Hernández,Oumar Niasse,Jordan Pickford,Billy Jones,John O'Shea,Javier Manquillo,Lamine Koné,Jason Denayer,Didier Ndong,George Honeyman,Fabio Borini,Jermain Defoe,Victor Anichebe
2017-05-06,Leicester City,Watford,,,,,,,,,,,,,,,,,,,,,3,0,H,1,0,H,R East,11,14,5,7,8,10,10,1,0,0,0,0,Kasper Schmeichel,Danny Simpson,Robert Huth,Christian Fuchs,Yohan Benalouane,Danny Drinkwater,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,Christian Kabasele,Daryl Janmaat,Nordin Amrabat,Tom Cleverley,Abdoulaye Doucouré,Etienne Capoue,M'Baye Niang,Stefano Okaka
2017-05-06,Manchester City,Crystal Palace,,,,,,,,,,,,,,,,,,,,,5,0,H,1,0,H,M Oliver,26,5,12,2,12,8,9,3,1,3,0,0,Willy Caballero,Vincent Kompany,Gaël Clichy,Fernandinho,Nicolás Otamendi,Raheem Sterling,Kevin De Bruyne,Leroy Sané,David Silva,Yaya Touré,Gabriel Jesus,Wayne Hennessey,Joel Ward,Patrick van Aanholt,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,James McArthur,Jason Puncheon,Andros Townsend,Wilfried Zaha,Christian Benteke
2017-05-06,Swansea City,Everton,,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,M Atkinson,9,8,4,2,5,13,9,5,0,0,0,0,Lukasz Fabianski,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Ki Sung-Yueng,Leon Britton,Tom Carroll,Gylfi Sigurdsson,Fernando Llorente,Jordan Ayew,Maarten Stekelenburg,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Gareth Barry,Tom Davies,Dominic Calvert-Lewin,Romelu Lukaku,Kevin Mirallas
2017-05-07,Arsenal,Manchester United,,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,A Marriner,9,10,4,4,14,10,5,9,1,0,0,0,Petr Cech,Laurent Koscielny,Rob Holding,Nacho Monreal,Kieran Gibbs,Aaron Ramsey,Alex Oxlade-Chamberlain,Granit Xhaka,Alexis Sánchez,Mesut Özil,Danny Welbeck,David de Gea,Phil Jones,Chris Smalling,Matteo Darmian,Axel Tuanzebe,Wayne Rooney,Michael Carrick,Ander Herrera,Juan Mata,Anthony Martial,Henrikh Mkhitaryan
2017-05-07,Liverpool,Southampton,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,R Madley,17,4,8,0,9,4,3,6,1,3,0,0,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Georginio Wijnaldum,Lucas Leiva,Emre Can,Philippe Coutinho,Roberto Firmino,Divock Origi,Fraser Forster,Cédric Soares,Maya Yoshida,Jack Stephens,Ryan Bertrand,Oriol Romeu,Steven Davis,James Ward-Prowse,Dusan Tadic,Sofiane Boufal,Manolo Gabbiadini
2017-05-08,Chelsea,Middlesbrough,,,,,,,,,,,,,,,,,,,,,3,0,H,2,0,H,C Pawson,21,2,7,1,8,21,8,1,0,2,0,0,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,Cesc Fàbregas,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa,Brad Guzan,Fabio,George Friend,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Álvaro Negredo,Stewart Downing,Adama Traoré
2017-05-10,Southampton,Arsenal,,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,J Moss,14,11,3,4,5,5,8,5,1,2,0,0,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,Steven Davis,James Ward-Prowse,Dusan Tadic,Nathan Redmond,Manolo Gabbiadini,Petr Cech,Rob Holding,Nacho Monreal,Shkodran Mustafi,Kieran Gibbs,Aaron Ramsey,Alex Oxlade-Chamberlain,Granit Xhaka,Alexis Sánchez,Mesut Özil,Danny Welbeck
2017-05-12,Everton,Watford,,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,K Friend,15,14,6,2,7,11,9,8,0,3,0,0,Joel Robles,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Ross Barkley,Romelu Lukaku,Kevin Mirallas,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,Christian Kabasele,Daryl Janmaat,Valon Behrami,Abdoulaye Doucouré,José Holebas,Etienne Capoue,Troy Deeney,Stefano Okaka
2017-05-12,West Bromwich Albion,Chelsea,,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,M Oliver,7,24,2,5,13,8,5,8,3,0,0,0,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,Jake Livermore,Chris Brunt,James McClean,Darren Fletcher,Sam Field,Salomón Rondón,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,Cesc Fàbregas,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa
2017-05-13,AFC Bournemouth,Burnley,,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,L Probert,18,14,6,3,6,11,7,1,0,1,0,0,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Lewis Cook,Junior Stanislas,Lys Mousset,Joshua King,Tom Heaton,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Jeff Hendrick,Ashley Westwood,George Boyd,Scott Arfield,Sam Vokes,Ashley Barnes
2017-05-13,Manchester City,Leicester City,,,,,,,,,,,,,,,,,,,,,2,1,H,2,1,H,R Madley,17,9,5,4,12,16,9,3,3,3,0,0,Willy Caballero,Vincent Kompany,Gaël Clichy,Fernandinho,Nicolás Otamendi,Raheem Sterling,Kevin De Bruyne,Leroy Sané,David Silva,Yaya Touré,Gabriel Jesus,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Christian Fuchs,Yohan Benalouane,Andy King,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki
2017-05-13,Middlesbrough,Southampton,,,,,,,,,,,,,,,,,,,,,1,2,A,0,1,A,A Taylor,14,14,3,4,19,11,6,3,3,0,0,0,Brad Guzan,Fabio,George Friend,Ben Gibson,Calum Chambers,Adam Clayton,Marten de Roon,Adam Forshaw,Álvaro Negredo,Patrick Bamford,Stewart Downing,Fraser Forster,Maya Yoshida,Martín Cáceres,Ryan Bertrand,Jérémy Pied,Jordy Clasie,Oriol Romeu,Pierre-Emile Højbjerg,Shane Long,Jay Rodriguez,Sofiane Boufal
2017-05-13,Stoke City,Arsenal,,,,,,,,,,,,,,,,,,,,,1,4,A,0,1,A,M Dean,10,10,4,6,13,7,7,6,1,2,0,0,Jack Butland,Erik Pieters,Glen Johnson,Bruno Martins Indi,Ryan Shawcross,Joe Allen,Glenn Whelan,Marko Arnautovic,Geoff Cameron,Xherdan Shaqiri,Mame Biram Diouf,Petr Cech,Laurent Koscielny,Rob Holding,Shkodran Mustafi,Héctor Bellerín,Nacho Monreal,Granit Xhaka,Francis Coquelin,Alexis Sánchez,Mesut Özil,Olivier Giroud
2017-05-13,Sunderland,Swansea City,,,,,,,,,,,,,,,,,,,,,0,2,A,0,2,A,A Marriner,13,3,4,3,13,6,8,4,4,0,0,0,Jordan Pickford,Billy Jones,John O'Shea,Javier Manquillo,Lamine Koné,Jason Denayer,Sebastian Larsson,Didier Ndong,Fabio Borini,Jermain Defoe,Victor Anichebe,Lukasz Fabianski,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Ki Sung-Yueng,Leon Britton,Tom Carroll,Gylfi Sigurdsson,Fernando Llorente,Jordan Ayew
2017-05-14,Crystal Palace,Hull City,,,,,,,,,,,,,,,,,,,,,4,0,H,2,0,H,M Atkinson,12,9,4,0,13,14,3,7,3,5,0,0,Wayne Hennessey,Joel Ward,James Tomkins,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason Puncheon,Christian Benteke,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Michael Dawson,Alfred N'Diaye,Kamil Grosicki,Sam Clucas,Ahmed El Mohamady,Evandro,Oumar Niasse
2017-05-14,Tottenham Hotspur,Manchester United,,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,J Moss,14,8,7,2,14,15,8,3,1,2,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane,David de Gea,Eric Bailly,Phil Jones,Chris Smalling,Daley Blind,Juan Mata,Wayne Rooney,Jesse Lingard,Michael Carrick,Axel Tuanzebe,Anthony Martial
2017-05-14,West Ham United,Liverpool,,,,,,,,,,,,,,,,,,,,,0,4,A,0,1,A,N Swarbrick,10,26,3,11,5,10,4,6,2,0,0,0,Adrián,José Fonte,Winston Reid,James Collins,Aaron Cresswell,Håvard Nordtveit,Sam Byram,Edimilson Fernandes,André Ayew,Jonathan Calleri,Manuel Lanzini,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Joel Matip,Philippe Coutinho,Georginio Wijnaldum,Adam Lallana,Emre Can,Daniel Sturridge,Divock Origi
2017-05-15,Chelsea,Watford,,,,,,,,,,,,,,,,,,,,,4,3,H,2,1,H,L Mason,24,9,9,3,7,12,8,3,2,4,0,1,Asmir Begovic,Kurt Zouma,Nathan Aké,John Terry,Kenedy,N'Golo Kanté,César Azpilicueta,Nathaniel Chalobah,Willian,Eden Hazard,Michy Batshuayi,Heurelho Gomes,Sebastian Prödl,Adrian Mariappa,José Holebas,Daryl Janmaat,Nordin Amrabat,Tom Cleverley,Valon Behrami,Abdoulaye Doucouré,M'Baye Niang,Etienne Capoue
2017-05-16,Arsenal,Sunderland,,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,R East,36,6,13,2,15,10,17,3,4,2,0,0,Petr Cech,Rob Holding,Nacho Monreal,Shkodran Mustafi,Héctor Bellerín,Kieran Gibbs,Aaron Ramsey,Granit Xhaka,Alexis Sánchez,Mesut Özil,Olivier Giroud,Jordan Pickford,Billy Jones,John O'Shea,Lamine Koné,Bryan Oviedo,Lee Cattermole,Sebastian Larsson,Didier Ndong,Javier Manquillo,Fabio Borini,Jermain Defoe
2017-05-16,Manchester City,West Bromwich Albion,,,,,,,,,,,,,,,,,,,,,3,1,H,2,0,H,C Pawson,21,5,10,2,8,11,7,1,1,2,0,0,Willy Caballero,Vincent Kompany,Aleksandar Kolarov,Fernandinho,Nicolás Otamendi,Gabriel Jesus,Kevin De Bruyne,Leroy Sané,David Silva,Yaya Touré,Sergio Agüero,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Marc Wilson,Craig Dawson,Claudio Yacob,Jake Livermore,Chris Brunt,Nacer Chadli,Darren Fletcher,Salomón Rondón
2017-05-17,Southampton,Manchester United,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Dean,17,11,6,1,7,10,7,3,2,1,0,0,Fraser Forster,Cédric Soares,Maya Yoshida,Matt Targett,Jack Stephens,Oriol Romeu,James Ward-Prowse,Steven Davis,Dusan Tadic,Nathan Redmond,Manolo Gabbiadini,Sergio Romero,Eric Bailly,Phil Jones,Chris Smalling,Matteo Darmian,Juan Mata,Anthony Martial,Henrikh Mkhitaryan,Marouane Fellaini,Axel Tuanzebe,Wayne Rooney
2017-05-18,Leicester City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,1,6,A,0,2,A,M Oliver,12,26,5,12,11,8,4,4,3,1,0,0,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Christian Fuchs,Yohan Benalouane,Marc Albrighton,Daniel Amartey,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Eric Dier,Victor Wanyama,Moussa Sissoko,Mousa Dembélé,Ben Davies,Son Heung-Min,Harry Kane,Dele Alli
2017-05-21,Arsenal,Everton,,,,,,,,,,,,,,,,,,,,,3,1,H,2,0,H,M Oliver,17,22,9,7,10,15,4,6,2,4,1,0,Petr Cech,Gabriel Paulista,Laurent Koscielny,Rob Holding,Héctor Bellerín,Aaron Ramsey,Nacho Monreal,Granit Xhaka,Alexis Sánchez,Mesut Özil,Danny Welbeck,Joel Robles,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Idrissa Gueye,Morgan Schneiderlin,Tom Davies,Romelu Lukaku,Kevin Mirallas,Enner Valencia
2017-05-21,Burnley,West Ham United,,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,R Madley,9,14,1,4,11,14,2,5,2,2,0,0,Tom Heaton,Matthew Lowton,James Tarkowski,Stephen Ward,Kevin Long,Robbie Brady,Jeff Hendrick,Ashley Westwood,Scott Arfield,Andre Gray,Sam Vokes,Adrián,José Fonte,James Collins,Angelo Ogbonna,Aaron Cresswell,Edimilson Fernandes,Sam Byram,Manuel Lanzini,Sofiane Feghouli,André Ayew,Robert Snodgrass
2017-05-21,Chelsea,Sunderland,,,,,,,,,,,,,,,,,,,,,5,1,H,1,1,D,N Swarbrick,28,7,8,3,8,15,11,1,1,1,0,0,Thibaut Courtois,John Terry,César Azpilicueta,David Luiz,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,Victor Moses,Eden Hazard,Willian,Diego Costa,Jordan Pickford,Billy Jones,Joleon Lescott,John O'Shea,Bryan Oviedo,Lee Cattermole,Sebastian Larsson,Jack Rodwell,Javier Manquillo,Fabio Borini,Adnan Januzaj
2017-05-21,Hull City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,1,7,A,0,3,A,A Marriner,10,19,4,14,14,5,2,3,0,0,0,0,David Marshall,Curtis Davies,Andrea Ranocchia,Michael Dawson,Tom Huddlestone,Alfred N'Diaye,Omar Elabdellaoui,Josh Tymon,Sam Clucas,Jarrod Bowen,Oumar Niasse,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Jan Vertonghen,Ben Davies,Son Heung-Min,Victor Wanyama,Eric Dier,Dele Alli,Christian Eriksen,Harry Kane
2017-05-21,Leicester City,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,l Mason,21,10,5,4,11,10,9,1,4,1,0,0,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Christian Fuchs,Yohan Benalouane,Andy King,Marc Albrighton,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Islam Slimani,Ryan Allsop,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Dan Gosling,Andrew Surman,Marc Pugh,Junior Stanislas,Lys Mousset,Ryan Fraser
