Date,HomeTeam,AwayTeam,Played Value H,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2017-04-04,Manchester United,Everton,,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,N Swarbrick,18,11,3,4,10,18,6,5,1,4,0,1,David de Gea,Eric Bailly,Marcos Rojo,Daley Blind,Ashley Young,Michael Carrick,Ander Herrera,Marouane Fellaini,Zlatan Ibrahimovic,Marcus Rashford,Jesse Lingard,Joel Robles,Leighton Baines,Ashley Williams,Phil Jagielka,Mason Holgate,Ross Barkley,Kevin Mirallas,Idrissa Gueye,Gareth Barry,Tom Davies,Romelu Lukaku
2017-04-04,Watford,West Bromwich Albion,,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,P Tierney,9,18,2,2,11,14,5,6,1,4,1,0,Heurelho Gomes,Miguel Britos,Sebastian Prödl,Craig Cathcart,José Holebas,Nordin Amrabat,Tom Cleverley,Abdoulaye Doucouré,M'Baye Niang,Etienne Capoue,Troy Deeney,Ben Foster,Allan-Roméo Nyom,Jonny Evans,Gareth McAuley,Craig Dawson,Jake Livermore,Chris Brunt,Darren Fletcher,Hal Robson-Kanu,James McClean,Nacer Chadli
2017-04-05,Arsenal,West Ham United,,,,,,,,,,,,,,,,,,,,,3,0,H,0,0,D,M Atkinson,21,7,8,2,11,5,5,0,2,2,0,0,Emiliano Martínez,Héctor Bellerín,Gabriel Paulista,Nacho Monreal,Shkodran Mustafi,Mohamed Elneny,Alexis Sánchez,Mesut Özil,Theo Walcott,Granit Xhaka,Danny Welbeck,Darren Randolph,José Fonte,James Collins,Sam Byram,Arthur Masuaku,Cheikhou Kouyaté,Mark Noble,André Ayew,Manuel Lanzini,Michail Antonio,Andy Carroll
2017-04-05,Chelsea,Manchester City,,,,,,,,,,,,,,,,,,,,,2,1,H,2,1,H,M Dean,10,17,4,7,10,14,2,9,1,3,0,0,Thibaut Courtois,Kurt Zouma,Gary Cahill,David Luiz,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,César Azpilicueta,Eden Hazard,Pedro,Diego Costa,Willy Caballero,Vincent Kompany,John Stones,Jesús Navas,Gaël Clichy,Kevin De Bruyne,Fabian Delph,Leroy Sané,David Silva,Fernandinho,Sergio Agüero
2017-04-05,Hull City,Middlesbrough,,,,,,,,,,,,,,,,,,,,,4,2,H,3,2,H,M Oliver,17,12,5,4,13,12,8,4,2,1,0,0,Eldin Jakupovic,Andrew Robertson,Harry Maguire,Andrea Ranocchia,Ahmed El Mohamady,Alfred N'Diaye,Kamil Grosicki,Sam Clucas,Lazar Markovic,Abel Hernández,Oumar Niasse,Víctor Valdés,Daniel Ayala,Ben Gibson,James Husband,Antonio Barragán,Adam Clayton,Marten de Roon,Stewart Downing,Adama Traoré,Álvaro Negredo,Rudy Gestede
2017-04-05,Liverpool,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,2,2,D,1,1,D,L Mason,20,7,8,2,11,8,7,2,1,1,0,0,Simon Mignolet,Nathaniel Clyne,Dejan Lovren,James Milner,Ragnar Klavan,Georginio Wijnaldum,Lucas Leiva,Emre Can,Philippe Coutinho,Roberto Firmino,Divock Origi,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Jordon Ibe,Jack Wilshere,Benik Afobe,Joshua King
2017-04-05,Southampton,Crystal Palace,,,,,,,,,,,,,,,,,,,,,3,1,H,1,1,D,R East,25,17,9,3,16,11,11,11,2,1,0,0,Fraser Forster,Cédric Soares,Maya Yoshida,Jack Stephens,Sam McQueen,Oriol Romeu,James Ward-Prowse,Steven Davis,Dusan Tadic,Nathan Redmond,Shane Long,Wayne Hennessey,Joel Ward,Mamadou Sakho,Jeffrey Schlupp,Martin Kelly,Luka Milivojevic,Yohan Cabaye,Andros Townsend,Wilfried Zaha,Jason Puncheon,Christian Benteke
2017-04-05,Swansea City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,1,3,A,1,0,H,J Moss,4,18,1,8,7,8,5,7,1,1,0,0,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Leroy Fer,Tom Carroll,Jack Cork,Wayne Routledge,Jordan Ayew,Gylfi Sigurdsson,Michel Vorm,Kyle Walker,Toby Alderweireld,Jan Vertonghen,Ben Davies,Eric Dier,Moussa Sissoko,Mousa Dembélé,Dele Alli,Christian Eriksen,Son Heung-Min
2017-04-08,AFC Bournemouth,Chelsea,,,,,,,,,,,,,,,,,,,,,1,3,A,1,2,A,A Marriner,12,15,1,5,7,11,4,4,2,3,0,0,Artur Boruc,Simon Francis,Steve Cook,Charlie Daniels,Adam Smith,Marc Pugh,Harry Arter,Ryan Fraser,Jack Wilshere,Benik Afobe,Joshua King,Thibaut Courtois,Gary Cahill,César Azpilicueta,David Luiz,Marcos Alonso,N'Golo Kanté,Victor Moses,Nemanja Matic,Eden Hazard,Pedro,Diego Costa
2017-04-08,Manchester City,Hull City,,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,J Moss,23,6,7,1,6,8,7,3,0,2,0,0,Claudio Bravo,John Stones,Aleksandar Kolarov,Jesús Navas,Gaël Clichy,Raheem Sterling,Fabian Delph,Leroy Sané,David Silva,Yaya Touré,Sergio Agüero,Eldin Jakupovic,Andrew Robertson,Andrea Ranocchia,Michael Dawson,Ahmed El Mohamady,Alfred N'Diaye,Kamil Grosicki,Sam Clucas,Lazar Markovic,Evandro,Oumar Niasse
