Date,HomeTeam,AwayTeam,Played Value H,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2017-08-11,Arsenal,Leicester City,,,,,,,,,,,,,,,,,,,,,4,3,H,2,2,D,M Dean,27,6,10,3,9,12,9,4,0,1,0,0,Petr Cech,Rob Holding,Nacho Monreal,Sead Kolasinac,Héctor Bellerín,Mohamed Elneny,Alex Oxlade-Chamberlain,Granit Xhaka,Alexandre Lacazette,Mesut Özil,Danny Welbeck,Kasper Schmeichel,Danny Simpson,Wes Morgan,Harry Maguire,Christian Fuchs,Marc Albrighton,Matty James,Wilfred Ndidi,Riyad Mahrez,Jamie Vardy,Shinji Okazaki
2017-08-12,Brighton and Hove Albion,Manchester City,,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,M Oliver,6,14,2,4,6,9,3,10,0,2,0,0,Mat Ryan,Bruno,Shane Duffy,Lewis Dunk,Markus Suttner,Dale Stephens,Solly March,Davy Pröpper,Isaiah Brown,Pascal Groß,Tomer Hemed,Ederson,Vincent Kompany,John Stones,Nicolás Otamendi,Kyle Walker,Danilo,Kevin De Bruyne,David Silva,Fernandinho,Gabriel Jesus,Sergio Agüero
2017-08-12,Chelsea,Burnley,,,,,,,,,,,,,,,,,,,,,2,3,A,0,3,A,C Pawson,19,10,6,5,16,11,8,5,3,3,2,0,Thibaut Courtois,Antonio Rüdiger,Gary Cahill,David Luiz,Marcos Alonso,Cesc Fàbregas,N'Golo Kanté,César Azpilicueta,Willian,Michy Batshuayi,Jeremie Boga,Tom Heaton,Matthew Lowton,James Tarkowski,Ben Mee,Stephen Ward,Jack Cork,Jóhann Gudmundsson,Robbie Brady,Steven Defour,Sam Vokes,Jeff Hendrick
2017-08-12,Crystal Palace,Huddersfield Town,,,,,,,,,,,,,,,,,,,,,0,3,A,0,2,A,J Moss,14,8,4,6,7,19,12,9,1,3,0,0,Wayne Hennessey,Scott Dann,Timothy Fosu-Mensah,Jairo Riedewald,Joel Ward,Patrick van Aanholt,Luka Milivojevic,Jason Puncheon,Ruben Loftus-Cheek,Wilfried Zaha,Christian Benteke,Jonas Lössl,Tommy Smith,Chris Löwe,Zanka,Christopher Schindler,Philip Billing,Elias Kachunga,Aaron Mooy,Tom Ince,Kasey Palmer,Steve Mounie
2017-08-12,Everton,Stoke City,,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,N Swarbrick,9,9,4,1,13,10,6,7,1,1,0,0,Jordan Pickford,Ashley Williams,Michael Keane,Phil Jagielka,Leighton Baines,Dominic Calvert-Lewin,Idrissa Gueye,Morgan Schneiderlin,Sandro Ramírez,Wayne Rooney,Davy Klaassen,Jack Butland,Kurt Zouma,Ryan Shawcross,Geoff Cameron,Erik Pieters,Joe Allen,Mame Biram Diouf,Darren Fletcher,Saido Berahino,Xherdan Shaqiri,Bojan
2017-08-12,Southampton,Swansea City,,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,M Jones,29,4,2,0,10,13,13,0,2,1,0,0,Fraser Forster,Cédric Soares,Maya Yoshida,Ryan Bertrand,Jack Stephens,Oriol Romeu,James Ward-Prowse,Steven Davis,Dusan Tadic,Nathan Redmond,Manolo Gabbiadini,Lukasz Fabianski,Martin Olsson,Federico Fernández,Alfie Mawson,Kyle Naughton,Leon Britton,Leroy Fer,Tom Carroll,Wayne Routledge,Tammy Abraham,Jordan Ayew
2017-08-12,Watford,Liverpool,,,,,,,,,,,,,,,,,,,,,3,3,D,2,1,H,A Taylor,9,14,4,5,14,8,3,3,0,3,0,0,Heurelho Gomes,Daryl Janmaat,Miguel Britos,Younes Kaboul,José Holebas,Tom Cleverley,Nathaniel Chalobah,Abdoulaye Doucouré,Nordin Amrabat,Stefano Okaka,Roberto Pereyra,Simon Mignolet,Dejan Lovren,Alberto Moreno,Joel Matip,Trent Alexander-Arnold,Georginio Wijnaldum,Jordan Henderson,Emre Can,Roberto Firmino,Sadio Mané,Mohamed Salah
2017-08-12,West Bromwich Albion,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,R Madley,16,9,6,2,15,3,8,2,3,1,0,0,Ben Foster,Allan-Roméo Nyom,Chris Brunt,Craig Dawson,Ahmed Hegazi,Claudio Yacob,Jake Livermore,Matt Phillips,James McClean,Sam Field,Jay Rodriguez,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Andrew Surman,Marc Pugh,Harry Arter,Ryan Fraser,Benik Afobe,Joshua King
2017-08-13,Manchester United,West Ham United,,,,,,,,,,,,,,,,,,,,,4,0,H,1,0,H,M Atkinson,22,9,6,1,19,7,11,1,2,2,0,0,David de Gea,Eric Bailly,Phil Jones,Daley Blind,Luis Antonio Valencia,Paul Pogba,Juan Mata,Marcus Rashford,Henrikh Mkhitaryan,Nemanja Matic,Romelu Lukaku,Joe Hart,Pablo Zabaleta,Winston Reid,Angelo Ogbonna,Arthur Masuaku,Marko Arnautovic,Pedro Obiang,Mark Noble,André Ayew,Edimilson Fernandes,Chicharito
2017-08-13,Newcastle United,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,0,2,A,0,0,D,A Marriner,6,18,3,6,6,10,5,7,1,2,1,0,Robert Elliot,Ciaran Clark,Paul Dummett,Javier Manquillo,Florian Lejeune,Jonjo Shelvey,Matt Ritchie,Isaac Hayden,Ayoze Pérez,Christian Atsu,Dwight Gayle,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Kyle Walker-Peters,Ben Davies,Eric Dier,Moussa Sissoko,Mousa Dembélé,Dele Alli,Christian Eriksen,Harry Kane
