Date,HomeTeam,AwayTeam,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2018-10-20,Huddersfield Town,Liverpool,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,M Oliver,13,11,1,2,9,6,2,4,0,2,0,0,Jonas Lössl,Chris Löwe,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Aaron Mooy,Florent Hadergjonaj,Erik Durm,Alex Pritchard,Laurent Depoitre,Alisson,Virgil van Dijk,Dejan Lovren,Joseph Gomez,Andrew Robertson,James Milner,Jordan Henderson,Xherdan Shaqiri,Mohamed Salah,Daniel Sturridge,Adam Lallana
2018-10-20,Manchester City,Burnley,,,,,,,,,,,,,,,,,,,,5,0,H,1,0,H,J Moss,24,5,10,0,11,5,10,1,2,2,0,0,Ederson,Vincent Kompany,John Stones,Aymeric Laporte,Benjamin Mendy,Bernardo Silva,David Silva,Fernandinho,Sergio Agüero,Leroy Sané,Riyad Mahrez,Joe Hart,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jack Cork,Jóhann Gudmundsson,Steven Defour,Aaron Lennon,Sam Vokes,Jeff Hendrick
2018-10-20,Newcastle United,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,A Marriner,27,8,6,2,13,17,10,2,0,2,0,0,Martin Dubravka,Paul Dummett,Jamaal Lascelles,Federico Fernández,DeAndre Yedlin,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Yoshinori Muto,Mat Ryan,Bruno,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Beram Kayal,Alireza Jahanbakhsh,José Izquierdo,Glenn Murray,Solly March
2018-10-20,West Ham United,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,M Atkinson,13,10,4,2,8,10,10,6,3,0,0,0,Lukasz Fabianski,Aaron Cresswell,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Andriy Yarmolenko,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Marko Arnautovic,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Davinson Sánchez,Ben Davies,Harry Winks,Erik Lamela,Eric Dier,Moussa Sissoko,Lucas Moura,Harry Kane
2018-10-20,Wolverhampton Wanderers,Watford,,,,,,,,,,,,,,,,,,,,0,2,A,0,2,A,L Mason,10,9,1,3,23,13,8,2,3,1,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Raúl Jiménez,Hélder Costa,Diogo Jota,Ben Foster,Adrian Mariappa,Adam Masina,Craig Cathcart,Kiko Femenía,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Isaac Success
2018-10-21,Everton,Crystal Palace,,,,,,,,,,,,,,,,,,,,2,0,H,0,0,D,A Taylor,20,7,4,3,13,17,10,5,2,1,0,0,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Bernard,Richarlison,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,Jeffrey Schlupp,James McArthur,Andros Townsend,Wilfried Zaha
2018-10-22,Arsenal,Leicester City,,,,,,,,,,,,,,,,,,,,3,1,H,1,1,D,C Kavanagh,19,8,6,2,10,10,6,4,2,2,0,0,Bernd Leno,Héctor Bellerín,Stephan Lichtsteiner,Rob Holding,Shkodran Mustafi,Henrikh Mkhitaryan,Mesut Özil,Lucas Torreira,Alex Iwobi,Granit Xhaka,Alexandre Lacazette,Kasper Schmeichel,Jonny Evans,Harry Maguire,Daniel Amartey,Ben Chilwell,Ricardo Pereira,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,James Maddison,Kelechi Iheanacho
2018-10-27,Brighton and Hove Albion,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,A Taylor,2,25,1,7,11,8,1,10,3,0,0,0,Mat Ryan,Bruno,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Beram Kayal,Alireza Jahanbakhsh,José Izquierdo,Glenn Murray,Solly March,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Raúl Jiménez,Hélder Costa,Adama Traoré
2018-10-27,Fulham,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,0,3,A,0,1,A,A Marriner,11,12,1,5,16,3,5,5,2,1,1,0,Sergio Rico,Denis Odoi,Tim Ream,Maxime Le Marchand,Timothy Fosu-Mensah,Ryan Sessegnon,Kevin McDonald,André Schürrle,Jean Michael Seri,Aboubakar Kamara,Aleksandar Mitrovic,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Jefferson Lerma,Charlie Daniels,Adam Smith,Lewis Cook,David Brooks,Callum Wilson,Ryan Fraser
2018-10-27,Leicester City,West Ham United,,,,,,,,,,,,,,,,,,,,1,1,D,0,1,A,M Oliver,21,11,7,3,17,5,8,0,1,1,0,1,Kasper Schmeichel,Ben Chilwell,Çaglar Söyüncü,Harry Maguire,Daniel Amartey,James Maddison,Marc Albrighton,Vicente Iborra,Wilfred Ndidi,Rachid Ghezzal,Kelechi Iheanacho,Lukasz Fabianski,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Arthur Masuaku,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Grady Diangana,Chicharito
2018-10-27,Liverpool,Cardiff City,,,,,,,,,,,,,,,,,,,,4,1,H,1,0,H,S Attwell,19,2,7,1,6,4,8,0,0,0,0,0,Alisson,Virgil van Dijk,Dejan Lovren,Alberto Moreno,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Adam Lallana,Mohamed Salah,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Josh Murphy,Aron Gunnarsson,Víctor Camarasa,David Junior Hoilett,Callum Paterson,Bobby De Cordova-Reid
2018-10-27,Southampton,Newcastle United,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,C Kavanagh,22,6,4,0,9,12,7,2,0,1,0,0,Alex McCarthy,Cédric Soares,Jack Stephens,Wesley Hoedt,Ryan Bertrand,Oriol Romeu,Mohamed Elyounoussi,Nathan Redmond,Mario Lemina,Danny Ings,Charlie Austin,Martin Dubravka,Paul Dummett,Jamaal Lascelles,Federico Fernández,DeAndre Yedlin,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Ayoze Pérez,Yoshinori Muto
2018-10-27,Watford,Huddersfield Town,,,,,,,,,,,,,,,,,,,,3,0,H,2,0,H,M Dean,12,13,6,7,9,13,3,3,1,2,0,0,Ben Foster,Adrian Mariappa,Adam Masina,Craig Cathcart,Kiko Femenía,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Isaac Success,Jonas Lössl,Chris Löwe,Zanka,Christopher Schindler,Erik Durm,Jonathan Hogg,Philip Billing,Aaron Mooy,Isaac Mbenza,Alex Pritchard,Laurent Depoitre
2018-10-28,Burnley,Chelsea,,,,,,,,,,,,,,,,,,,,0,4,A,0,1,A,C Pawson,7,24,1,8,14,10,4,4,4,2,0,0,Joe Hart,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jack Cork,Jóhann Gudmundsson,Robbie Brady,Steven Defour,Sam Vokes,Jeff Hendrick,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Willian,Pedro,Álvaro Morata
2018-10-28,Crystal Palace,Arsenal,,,,,,,,,,,,,,,,,,,,2,2,D,1,0,H,M Atkinson,16,7,3,2,10,16,6,4,1,2,0,0,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Cheikhou Kouyaté,Andros Townsend,James McArthur,Wilfried Zaha,Jordan Ayew,Bernd Leno,Héctor Bellerín,Rob Holding,Shkodran Mustafi,Granit Xhaka,Mesut Özil,Lucas Torreira,Pierre-Emerick Aubameyang,Alex Iwobi,Matteo Guendouzi,Alexandre Lacazette
2018-10-28,Manchester United,Everton,,,,,,,,,,,,,,,,,,,,2,1,H,1,0,H,J Moss,14,14,10,6,15,12,8,4,2,1,0,0,David de Gea,Victor Lindelöf,Chris Smalling,Ashley Young,Luke Shaw,Paul Pogba,Fred,Nemanja Matic,Juan Mata,Anthony Martial,Marcus Rashford,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Bernard,Richarlison
2018-10-29,Tottenham Hotspur,Manchester City,,,,,,,,,,,,,,,,,,,,0,1,A,0,1,A,K Friend,4,13,1,6,13,13,3,6,2,2,0,0,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Davinson Sánchez,Ben Davies,Erik Lamela,Eric Dier,Moussa Sissoko,Mousa Dembélé,Lucas Moura,Harry Kane,Ederson,Kyle Walker,John Stones,Aymeric Laporte,Benjamin Mendy,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Riyad Mahrez
2018-11-03,Arsenal,Liverpool,,,,,,,,,,,,,,,,,,,,1,1,D,0,0,D,A Marriner,12,13,4,4,7,7,5,8,1,1,0,0,Bernd Leno,Héctor Bellerín,Rob Holding,Shkodran Mustafi,Sead Kolasinac,Henrikh Mkhitaryan,Mesut Özil,Lucas Torreira,Pierre-Emerick Aubameyang,Granit Xhaka,Alexandre Lacazette,Alisson,Virgil van Dijk,Joseph Gomez,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,James Milner,Roberto Firmino,Sadio Mané,Mohamed Salah
2018-11-03,AFC Bournemouth,Manchester United,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,P Tierney,18,18,7,8,12,12,9,5,4,3,0,0,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Adam Smith,Jefferson Lerma,Lewis Cook,Junior Stanislas,Ryan Fraser,David Brooks,Callum Wilson,David de Gea,Victor Lindelöf,Chris Smalling,Ashley Young,Luke Shaw,Paul Pogba,Fred,Nemanja Matic,Alexis Sánchez,Juan Mata,Anthony Martial
2018-11-03,Cardiff City,Leicester City,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,L Probert,11,13,2,5,13,12,6,12,2,2,0,0,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Josh Murphy,Aron Gunnarsson,Víctor Camarasa,Callum Paterson,Bobby De Cordova-Reid,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Harry Maguire,Ricardo Pereira,Demarai Gray,James Maddison,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy
2018-11-03,Everton,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,3,1,H,1,1,D,D Coote,14,5,3,3,9,17,6,4,0,1,0,0,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Bernard,Richarlison,Mat Ryan,Bruno,Gaëtan Bong,Shane Duffy,Lewis Dunk,Dale Stephens,Beram Kayal,Alireza Jahanbakhsh,José Izquierdo,Glenn Murray,Solly March
2018-11-03,Newcastle United,Watford,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,C Pawson,10,16,2,1,12,11,8,9,1,5,0,0,Martin Dubravka,Paul Dummett,Jamaal Lascelles,Federico Fernández,DeAndre Yedlin,Jonjo Shelvey,Mohamed Diamé,Matt Ritchie,Kenedy,Salomón Rondón,Yoshinori Muto,Ben Foster,Adrian Mariappa,Craig Cathcart,Kiko Femenía,José Holebas,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Isaac Success
2018-11-03,West Ham United,Burnley,,,,,,,,,,,,,,,,,,,,4,2,H,1,1,D,R East,22,6,10,3,7,9,10,4,1,4,0,0,Lukasz Fabianski,Aaron Cresswell,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Felipe Anderson,Robert Snodgrass,Pedro Obiang,Declan Rice,Grady Diangana,Marko Arnautovic,Joe Hart,Matthew Lowton,Charlie Taylor,James Tarkowski,Ben Mee,Jóhann Gudmundsson,Steven Defour,Ashley Westwood,Aaron Lennon,Sam Vokes,Matej Vydra
2018-11-03,Wolverhampton Wanderers,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,2,3,A,0,2,A,M Dean,16,10,7,8,11,8,5,1,1,2,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Ivan Cavaleiro,Raúl Jiménez,Hélder Costa,Hugo Lloris,Kieran Trippier,Toby Alderweireld,Juan Foyth,Ben Davies,Harry Winks,Erik Lamela,Moussa Sissoko,Mousa Dembélé,Lucas Moura,Harry Kane
2018-11-04,Chelsea,Crystal Palace,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,M Oliver,15,7,6,2,6,13,4,2,0,1,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Ross Barkley,Willian,Pedro,Álvaro Morata,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha
2018-11-04,Manchester City,Southampton,,,,,,,,,,,,,,,,,,,,6,1,H,4,1,H,L Mason,18,12,8,6,14,9,4,4,1,1,0,0,Ederson,Kyle Walker,John Stones,Aymeric Laporte,Benjamin Mendy,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Leroy Sané,Alex McCarthy,Cédric Soares,Jack Stephens,Wesley Hoedt,Ryan Bertrand,Shane Long,James Ward-Prowse,Nathan Redmond,Mario Lemina,Pierre-Emile Højbjerg,Danny Ings
2018-11-05,Huddersfield Town,Fulham,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,A Taylor,10,7,2,1,11,8,5,4,1,2,0,0,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Chris Löwe,Florent Hadergjonaj,Steve Mounie,Alex Pritchard,Aaron Mooy,Sergio Rico,Ryan Sessegnon,Denis Odoi,Maxime Le Marchand,Timothy Fosu-Mensah,Tom Cairney,Jean Michael Seri,André-Frank Zambo Anguissa,Aleksandar Mitrovic,André Schürrle,Luciano Vietto
