Date,HomeTeam,AwayTeam,Played Value A,Total Value H,Total Value A,Attack H,Midfield H,Defense H,Goalie H,Attack A,Midfield A,Defense A,Goalie A,Attack Count H,Midfield Count H,Defense Count H,Goalie Count H,Attack Count A,Midfield Count A,Defense Count A,Goalie Count A,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11
2018-11-24,Brighton and Hove Albion,Leicester City,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,C Kavanagh,14,8,3,3,10,7,6,1,3,1,0,1,Mat Ryan,Bruno,Shane Duffy,Lewis Dunk,Bernardo,Beram Kayal,Anthony Knockaert,José Izquierdo,Davy Pröpper,Pascal Groß,Glenn Murray,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Jonny Evans,Ricardo Pereira,Demarai Gray,James Maddison,Marc Albrighton,Vicente Iborra,Nampalys Mendy,Shinji Okazaki
2018-11-24,Everton,Cardiff City,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,P Tierney,16,7,8,1,12,13,7,3,0,3,0,0,Jordan Pickford,Michael Keane,Lucas Digne,Yerry Mina,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Bernard,Richarlison,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Greg Cunningham,Sol Bamba,Harry Arter,Joe Ralls,Aron Gunnarsson,Víctor Camarasa,Kadeem Harris,Callum Paterson
2018-11-24,Fulham,Southampton,,,,,,,,,,,,,,,,,,,,3,2,H,2,1,H,M Oliver,10,19,5,8,10,6,2,5,2,3,0,0,Sergio Rico,Denis Odoi,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Ryan Sessegnon,Calum Chambers,Tom Cairney,André Schürrle,Jean Michael Seri,Aleksandar Mitrovic,Alex McCarthy,Cédric Soares,Maya Yoshida,Wesley Hoedt,Matt Targett,Nathan Redmond,Stuart Armstrong,Mario Lemina,Manolo Gabbiadini,Pierre-Emile Højbjerg,Charlie Austin
2018-11-24,Manchester United,Crystal Palace,,,,,,,,,,,,,,,,,,,,0,0,D,0,0,D,L Mason,12,13,5,2,13,12,10,3,1,2,0,0,David de Gea,Victor Lindelöf,Chris Smalling,Ashley Young,Matteo Darmian,Paul Pogba,Jesse Lingard,Nemanja Matic,Juan Mata,Anthony Martial,Romelu Lukaku,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha
2018-11-24,Tottenham Hotspur,Chelsea,,,,,,,,,,,,,,,,,,,,3,1,H,2,0,H,M Atkinson,18,13,9,2,19,12,4,4,0,3,0,0,Hugo Lloris,Toby Alderweireld,Juan Foyth,Serge Aurier,Ben Davies,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Son Heung-Min,Harry Kane,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Willian,Eden Hazard,Álvaro Morata
2018-11-24,Watford,Liverpool,,,,,,,,,,,,,,,,,,,,0,3,A,0,0,D,J Moss,5,10,1,7,12,13,5,5,0,0,0,1,Ben Foster,Adrian Mariappa,Adam Masina,Craig Cathcart,Kiko Femenía,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Troy Deeney,Alisson,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Trent Alexander-Arnold,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Jordan Henderson,Xherdan Shaqiri,Mohamed Salah
2018-11-24,West Ham United,Manchester City,,,,,,,,,,,,,,,,,,,,0,4,A,0,3,A,A Marriner,9,9,1,6,6,3,8,1,0,0,0,0,Lukasz Fabianski,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Arthur Masuaku,Felipe Anderson,Pedro Obiang,Michail Antonio,Declan Rice,Grady Diangana,Marko Arnautovic,Ederson,Kyle Walker,Aymeric Laporte,Fabian Delph,Nicolás Otamendi,Ilkay Gündogan,David Silva,Fernandinho,Raheem Sterling,Sergio Agüero,Leroy Sané
2018-11-25,AFC Bournemouth,Arsenal,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,C Pawson,11,20,5,4,6,9,5,8,2,1,0,0,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Dan Gosling,David Brooks,Jefferson Lerma,Ryan Fraser,Callum Wilson,Joshua King,Bernd Leno,Sokratis,Rob Holding,Shkodran Mustafi,Héctor Bellerín,Lucas Torreira,Sead Kolasinac,Granit Xhaka,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Alex Iwobi
2018-11-25,Wolverhampton Wanderers,Huddersfield Town,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,K Friend,12,14,3,6,9,8,3,5,1,2,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,João Moutinho,Rúben Vinagre,Ivan Cavaleiro,Raúl Jiménez,Hélder Costa,Jonas Lössl,Tommy Smith,Terence Kongolo,Christopher Schindler,Jonathan Hogg,Philip Billing,Aaron Mooy,Florent Hadergjonaj,Erik Durm,Steve Mounie,Alex Pritchard
2018-11-26,Burnley,Newcastle United,,,,,,,,,,,,,,,,,,,,1,2,A,1,2,A,A Taylor,14,17,4,3,6,11,5,5,0,1,0,0,Joe Hart,Matthew Lowton,Charlie Taylor,Ben Mee,Kevin Long,Jack Cork,Robbie Brady,Steven Defour,Aaron Lennon,Chris Wood,Sam Vokes,Martin Dubravka,Ciaran Clark,Fabian Schär,Matt Ritchie,Federico Fernández,DeAndre Yedlin,Ki Sung-Yueng,Mohamed Diamé,Kenedy,Ayoze Pérez,Salomón Rondón
2018-11-30,Cardiff City,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,2,1,H,0,1,A,A Marriner,17,15,3,4,3,12,7,6,1,2,0,0,Neil Etheridge,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Joe Ralls,Aron Gunnarsson,Víctor Camarasa,David Junior Hoilett,Josh Murphy,Callum Paterson,Rui Patrício,Willy Boly,Conor Coady,Romain Saïss,Matt Doherty,Rúben Neves,João Moutinho,Rúben Vinagre,Raúl Jiménez,Hélder Costa,Adama Traoré
2018-12-01,Crystal Palace,Burnley,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,L Probert,29,4,9,0,9,10,10,2,1,1,0,0,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha,Joe Hart,Matthew Lowton,Charlie Taylor,Ben Mee,Kevin Long,Jack Cork,Jóhann Gudmundsson,Steven Defour,Aaron Lennon,Chris Wood,Jeff Hendrick
2018-12-01,Huddersfield Town,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,M Oliver,7,14,2,6,10,12,2,6,0,2,1,0,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Philip Billing,Aaron Mooy,Florent Hadergjonaj,Erik Durm,Steve Mounie,Alex Pritchard,Mat Ryan,Bruno,Shane Duffy,Lewis Dunk,Bernardo,Yves Bissouma,Pascal Groß,Davy Pröpper,Florin Andone,José Izquierdo,Solly March
2018-12-01,Leicester City,Watford,,,,,,,,,,,,,,,,,,,,2,0,H,2,0,H,G Scott,7,8,3,0,7,6,4,8,2,1,0,1,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Jonny Evans,Ricardo Pereira,Demarai Gray,James Maddison,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy,Ben Foster,Adrian Mariappa,Craig Cathcart,Kiko Femenía,José Holebas,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Roberto Pereyra,Gerard Deulofeu,Isaac Success
2018-12-01,Manchester City,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,3,1,H,1,1,D,S Attwell,16,4,6,1,9,3,8,4,0,0,0,0,Ederson,Danilo,Oleksandr Zinchenko,Aymeric Laporte,Nicolás Otamendi,Ilkay Gündogan,Bernardo Silva,Fernandinho,Raheem Sterling,Gabriel Jesus,Leroy Sané,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Tyrone Mings,Andrew Surman,Lewis Cook,Ryan Fraser,Joshua King,Callum Wilson
2018-12-01,Newcastle United,West Ham United,,,,,,,,,,,,,,,,,,,,0,3,A,0,1,A,P Tierney,16,7,4,4,10,10,7,3,3,3,0,0,Martin Dubravka,Fabian Schär,Federico Fernández,Javier Manquillo,DeAndre Yedlin,Ki Sung-Yueng,Mohamed Diamé,Matt Ritchie,Kenedy,Salomón Rondón,Ayoze Pérez,Lukasz Fabianski,Aaron Cresswell,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Marko Arnautovic,Chicharito
2018-12-01,Southampton,Manchester United,,,,,,,,,,,,,,,,,,,,2,2,D,2,2,D,K Friend,16,11,6,5,12,13,3,5,4,4,0,0,Alex McCarthy,Maya Yoshida,Jannik Vestergaard,Jack Stephens,Cédric Soares,Mario Lemina,Yan Valery,Pierre-Emile Højbjerg,Nathan Redmond,Stuart Armstrong,Michael Obafemi,David de Gea,Phil Jones,Ashley Young,Luke Shaw,Nemanja Matic,Scott McTominay,Paul Pogba,Ander Herrera,Marouane Fellaini,Romelu Lukaku,Marcus Rashford
2018-12-02,Arsenal,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,4,2,H,1,2,A,M Dean,22,11,7,6,15,17,8,5,3,3,0,1,Bernd Leno,Sokratis,Rob Holding,Shkodran Mustafi,Héctor Bellerín,Lucas Torreira,Sead Kolasinac,Granit Xhaka,Henrikh Mkhitaryan,Pierre-Emerick Aubameyang,Alex Iwobi,Hugo Lloris,Jan Vertonghen,Juan Foyth,Serge Aurier,Ben Davies,Eric Dier,Moussa Sissoko,Dele Alli,Christian Eriksen,Son Heung-Min,Harry Kane
2018-12-02,Chelsea,Fulham,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,C Pawson,16,9,9,4,8,17,4,6,2,1,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Eden Hazard,Pedro,Olivier Giroud,Sergio Rico,Denis Odoi,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Calum Chambers,Stefan Johansen,Tom Cairney,Jean Michael Seri,Ryan Sessegnon,Aleksandar Mitrovic
2018-12-02,Liverpool,Everton,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,C Kavanagh,16,9,3,3,12,7,8,1,3,2,0,0,Alisson,Virgil van Dijk,Joseph Gomez,Andrew Robertson,Trent Alexander-Arnold,Fabinho,Georginio Wijnaldum,Roberto Firmino,Sadio Mané,Xherdan Shaqiri,Mohamed Salah,Jordan Pickford,Michael Keane,Lucas Digne,Yerry Mina,Séamus Coleman,André Gomes,Theo Walcott,Idrissa Gueye,Bernard,Richarlison,Gylfi Sigurdsson
2018-12-04,AFC Bournemouth,Huddersfield Town,,,,,,,,,,,,,,,,,,,,2,1,H,2,1,H,R East,6,23,2,6,14,11,4,8,4,2,0,0,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,David Brooks,Jefferson Lerma,Lewis Cook,Ryan Fraser,Callum Wilson,Joshua King,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Florent Hadergjonaj,Jonathan Hogg,Philip Billing,Aaron Mooy,Alex Pritchard,Erik Durm,Laurent Depoitre
2018-12-04,Brighton and Hove Albion,Crystal Palace,,,,,,,,,,,,,,,,,,,,3,1,H,3,0,H,K Friend,9,18,3,5,14,12,4,5,2,3,1,0,Mat Ryan,Shane Duffy,Lewis Dunk,Martín Montoya,Bernardo,Yves Bissouma,Pascal Groß,Davy Pröpper,Glenn Murray,José Izquierdo,Solly March,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha
2018-12-04,Watford,Manchester City,,,,,,,,,,,,,,,,,,,,1,2,A,0,1,A,P Tierney,11,15,7,7,4,8,3,11,0,1,0,0,Ben Foster,Craig Cathcart,Kiko Femenía,José Holebas,Christian Kabasele,Nathaniel Chalobah,Abdoulaye Doucouré,Will Hughes,Isaac Success,Roberto Pereyra,Troy Deeney,Ederson,Kyle Walker,Vincent Kompany,John Stones,Fabian Delph,Bernardo Silva,David Silva,Fernandinho,Gabriel Jesus,Leroy Sané,Riyad Mahrez
2018-12-04,West Ham United,Cardiff City,,,,,,,,,,,,,,,,,,,,3,1,H,0,0,D,G Scott,17,9,11,5,10,10,10,4,1,2,0,0,Lukasz Fabianski,Angelo Ogbonna,Issa Diop,Arthur Masuaku,Michail Antonio,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Marko Arnautovic,Chicharito,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Joe Ralls,Aron Gunnarsson,Víctor Camarasa,David Junior Hoilett,Callum Paterson
2018-12-05,Burnley,Liverpool,,,,,,,,,,,,,,,,,,,,1,3,A,0,0,D,S Attwell,10,18,6,12,10,3,5,9,1,0,0,0,Joe Hart,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jóhann Gudmundsson,Robbie Brady,Ashley Westwood,Chris Wood,Ashley Barnes,Alisson,Virgil van Dijk,Joseph Gomez,Alberto Moreno,Joel Matip,James Milner,Naby Keita,Jordan Henderson,Xherdan Shaqiri,Daniel Sturridge,Divock Origi
2018-12-05,Everton,Newcastle United,,,,,,,,,,,,,,,,,,,,1,1,D,1,1,D,L Mason,19,8,3,5,7,18,14,2,0,5,0,0,Jordan Pickford,Kurt Zouma,Lucas Digne,Yerry Mina,Séamus Coleman,Richarlison,André Gomes,Gylfi Sigurdsson,Idrissa Gueye,Ademola Lookman,Cenk Tosun,Martin Dubravka,Fabian Schär,Jamaal Lascelles,Federico Fernández,Javier Manquillo,DeAndre Yedlin,Ki Sung-Yueng,Jacob Murphy,Mohamed Diamé,Christian Atsu,Salomón Rondón
2018-12-05,Fulham,Leicester City,,,,,,,,,,,,,,,,,,,,1,1,D,1,0,H,D Coote,25,13,7,5,12,7,10,8,0,0,0,0,Sergio Rico,Denis Odoi,Alfie Mawson,Maxime Le Marchand,Cyrus Christie,Ryan Sessegnon,Calum Chambers,Luciano Vietto,Jean Michael Seri,Aboubakar Kamara,Aleksandar Mitrovic,Kasper Schmeichel,Danny Simpson,Ben Chilwell,Çaglar Söyüncü,Wes Morgan,James Maddison,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Fousseni Diabaté,Kelechi Iheanacho
2018-12-05,Manchester United,Arsenal,,,,,,,,,,,,,,,,,,,,2,2,D,1,1,D,A Marriner,10,9,7,4,13,10,4,4,3,3,0,0,David de Gea,Eric Bailly,Chris Smalling,Marcos Rojo,Diogo Dalot,Ander Herrera,Nemanja Matic,Matteo Darmian,Anthony Martial,Marcus Rashford,Jesse Lingard,Bernd Leno,Sokratis,Rob Holding,Shkodran Mustafi,Héctor Bellerín,Lucas Torreira,Matteo Guendouzi,Sead Kolasinac,Aaron Ramsey,Pierre-Emerick Aubameyang,Alex Iwobi
2018-12-05,Tottenham Hotspur,Southampton,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,A Taylor,13,18,8,5,7,5,8,6,0,0,0,0,Hugo Lloris,Kieran Trippier,Danny Rose,Toby Alderweireld,Juan Foyth,Son Heung-Min,Harry Winks,Eric Dier,Christian Eriksen,Lucas Moura,Harry Kane,Alex McCarthy,Cédric Soares,Maya Yoshida,Jack Stephens,Matt Targett,James Ward-Prowse,Steven Davis,Nathan Redmond,Stuart Armstrong,Pierre-Emile Højbjerg,Manolo Gabbiadini
2018-12-05,Wolverhampton Wanderers,Chelsea,,,,,,,,,,,,,,,,,,,,2,1,H,0,1,A,J Moss,6,17,2,3,18,10,1,5,4,4,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Romain Saïss,João Moutinho,Rúben Vinagre,Raúl Jiménez,Morgan Gibbs-White,Diogo Jota,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,Andreas Christensen,César Azpilicueta,Cesc Fàbregas,N'Golo Kanté,Ruben Loftus-Cheek,Eden Hazard,Willian,Álvaro Morata
2018-12-08,Arsenal,Huddersfield Town,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,P Tierney,14,6,2,0,13,20,7,1,5,4,0,0,Bernd Leno,Sokratis,Stephan Lichtsteiner,Shkodran Mustafi,Héctor Bellerín,Lucas Torreira,Matteo Guendouzi,Sead Kolasinac,Granit Xhaka,Alexandre Lacazette,Pierre-Emerick Aubameyang,Jonas Lössl,Tommy Smith,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Alex Pritchard,Aaron Mooy,Chris Löwe,Danny Williams,Laurent Depoitre
2018-12-08,AFC Bournemouth,Liverpool,,,,,,,,,,,,,,,,,,,,0,4,A,0,1,A,L Mason,8,10,2,4,9,11,6,6,2,1,0,0,Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Andrew Surman,David Brooks,Jefferson Lerma,Junior Stanislas,Ryan Fraser,Joshua King,Alisson,Virgil van Dijk,James Milner,Andrew Robertson,Joel Matip,Fabinho,Georginio Wijnaldum,Naby Keita,Xherdan Shaqiri,Roberto Firmino,Mohamed Salah
2018-12-08,Burnley,Brighton and Hove Albion,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,M Atkinson,14,14,4,1,11,11,2,7,2,0,0,0,Joe Hart,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Jack Cork,Jóhann Gudmundsson,Robbie Brady,Ashley Westwood,Chris Wood,Ashley Barnes,Mat Ryan,Bruno,Lewis Dunk,Leon Balogun,Bernardo,Yves Bissouma,Pascal Groß,Davy Pröpper,Florin Andone,Anthony Knockaert,Solly March
2018-12-08,Cardiff City,Southampton,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,J Moss,13,12,4,1,9,10,7,7,2,2,0,0,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Josh Murphy,Aron Gunnarsson,Nathaniel Mendez-Laing,Víctor Camarasa,Callum Paterson,Alex McCarthy,Jannik Vestergaard,Yan Valery,Matt Targett,Jan Bednarek,Oriol Romeu,Nathan Redmond,Stuart Armstrong,Mario Lemina,Pierre-Emile Højbjerg,Charlie Austin
2018-12-08,Chelsea,Manchester City,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,M Oliver,8,14,5,4,12,11,1,13,2,0,0,0,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Willian,Eden Hazard,Pedro,Ederson,Kyle Walker,John Stones,Aymeric Laporte,Fabian Delph,Bernardo Silva,David Silva,Fernandinho,Raheem Sterling,Leroy Sané,Riyad Mahrez
2018-12-08,Leicester City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,0,2,A,0,1,A,C Pawson,11,7,3,2,12,7,6,5,3,1,0,0,Kasper Schmeichel,Ben Chilwell,Wes Morgan,Jonny Evans,Ricardo Pereira,Vicente Iborra,Nampalys Mendy,Wilfred Ndidi,Demarai Gray,James Maddison,Kelechi Iheanacho,Hugo Lloris,Toby Alderweireld,Jan Vertonghen,Serge Aurier,Ben Davies,Son Heung-Min,Harry Winks,Eric Dier,Moussa Sissoko,Dele Alli,Lucas Moura
2018-12-08,Manchester United,Fulham,,,,,,,,,,,,,,,,,,,,4,1,H,3,0,H,L Probert,20,10,11,4,11,15,10,3,1,1,0,1,David de Gea,Phil Jones,Chris Smalling,Ashley Young,Diogo Dalot,Juan Mata,Marcus Rashford,Jesse Lingard,Ander Herrera,Nemanja Matic,Romelu Lukaku,Sergio Rico,Denis Odoi,Alfie Mawson,Tim Ream,Joe Bryan,Ryan Sessegnon,Tom Cairney,André Schürrle,Jean Michael Seri,André-Frank Zambo Anguissa,Aleksandar Mitrovic
2018-12-08,West Ham United,Crystal Palace,,,,,,,,,,,,,,,,,,,,3,2,H,0,1,A,A Taylor,13,8,6,4,10,8,5,3,1,2,0,0,Lukasz Fabianski,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Arthur Masuaku,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Chicharito,Lucas Pérez,Wayne Hennessey,Patrick van Aanholt,James Tomkins,Mamadou Sakho,Aaron Wan-Bissaka,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Wilfried Zaha
2018-12-09,Newcastle United,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,1,2,A,1,1,D,M Dean,12,13,4,6,10,17,4,6,2,5,1,0,Martin Dubravka,Ciaran Clark,Jamaal Lascelles,Federico Fernández,Ki Sung-Yueng,Mohamed Diamé,Matt Ritchie,DeAndre Yedlin,Christian Atsu,Salomón Rondón,Ayoze Pérez,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Romain Saïss,Rúben Vinagre,Hélder Costa,Diogo Jota,Adama Traoré
2018-12-10,Everton,Watford,,,,,,,,,,,,,,,,,,,,2,2,D,1,0,H,K Friend,12,15,5,3,13,13,6,6,1,1,0,0,Jordan Pickford,Michael Keane,Lucas Digne,Yerry Mina,Séamus Coleman,André Gomes,Gylfi Sigurdsson,Theo Walcott,Idrissa Gueye,Bernard,Richarlison,Ben Foster,Craig Cathcart,Kiko Femenía,José Holebas,Christian Kabasele,Ken Sema,Abdoulaye Doucouré,Domingos Quina,Roberto Pereyra,Troy Deeney,Isaac Success
2018-12-15,Crystal Palace,Leicester City,,,,,,,,,,,,,,,,,,,,1,0,H,1,0,H,M Oliver,8,12,1,2,10,8,4,4,2,1,0,0,Vicente Guaita,Patrick van Aanholt,Mamadou Sakho,Aaron Wan-Bissaka,Martin Kelly,Luka Milivojevic,Max Meyer,Cheikhou Kouyaté,James McArthur,Andros Townsend,Jordan Ayew,Kasper Schmeichel,Wes Morgan,Harry Maguire,Ricardo Pereira,Christian Fuchs,Demarai Gray,James Maddison,Marc Albrighton,Nampalys Mendy,Wilfred Ndidi,Jamie Vardy
2018-12-15,Fulham,West Ham United,,,,,,,,,,,,,,,,,,,,0,2,A,0,2,A,M Dean,16,6,4,3,14,10,6,4,2,1,0,0,Sergio Rico,Denis Odoi,Alfie Mawson,Tim Ream,Joe Bryan,Calum Chambers,Tom Cairney,André Schürrle,Jean Michael Seri,Aleksandar Mitrovic,Aboubakar Kamara,Lukasz Fabianski,Fabián Balbuena,Pablo Zabaleta,Issa Diop,Arthur Masuaku,Felipe Anderson,Robert Snodgrass,Mark Noble,Declan Rice,Chicharito,Michail Antonio
2018-12-15,Huddersfield Town,Newcastle United,,,,,,,,,,,,,,,,,,,,0,1,A,0,0,D,A Taylor,15,8,5,5,5,13,10,1,1,1,0,0,Jonas Lössl,Terence Kongolo,Zanka,Christopher Schindler,Jonathan Hogg,Juninho Bacuna,Philip Billing,Chris Löwe,Florent Hadergjonaj,Alex Pritchard,Laurent Depoitre,Martin Dubravka,Ciaran Clark,Fabian Schär,Jamaal Lascelles,Ki Sung-Yueng,Mohamed Diamé,Kenedy,Javier Manquillo,Christian Atsu,Salomón Rondón,Ayoze Pérez
2018-12-15,Manchester City,Everton,,,,,,,,,,,,,,,,,,,,3,1,H,1,0,H,C Pawson,13,9,5,2,7,9,6,2,1,2,0,0,Ederson,Kyle Walker,Aymeric Laporte,Fabian Delph,Nicolás Otamendi,Ilkay Gündogan,Bernardo Silva,Fernandinho,Gabriel Jesus,Leroy Sané,Riyad Mahrez,Jordan Pickford,Michael Keane,Kurt Zouma,Lucas Digne,Yerry Mina,Séamus Coleman,Richarlison,André Gomes,Gylfi Sigurdsson,Bernard,Dominic Calvert-Lewin
2018-12-15,Tottenham Hotspur,Burnley,,,,,,,,,,,,,,,,,,,,1,0,H,0,0,D,G Scott,15,4,3,0,7,8,8,3,0,2,0,0,Hugo Lloris,Kieran Trippier,Danny Rose,Toby Alderweireld,Ben Davies,Erik Lamela,Moussa Sissoko,Dele Alli,Lucas Moura,Oliver Skipp,Harry Kane,Joe Hart,Charlie Taylor,James Tarkowski,Ben Mee,Phil Bardsley,Kevin Long,Jack Cork,Robbie Brady,Ashley Westwood,Aaron Lennon,Ashley Barnes
2018-12-15,Watford,Cardiff City,,,,,,,,,,,,,,,,,,,,3,2,H,1,0,H,A Madley,17,10,8,3,7,5,5,0,0,0,0,0,Ben Foster,Craig Cathcart,Kiko Femenía,José Holebas,Christian Kabasele,Ken Sema,Abdoulaye Doucouré,Domingos Quina,Roberto Pereyra,Gerard Deulofeu,Troy Deeney,Neil Etheridge,Joe Bennett,Sean Morrison,Bruno Ecuele Manga,Sol Bamba,Harry Arter,Josh Murphy,Aron Gunnarsson,Víctor Camarasa,David Junior Hoilett,Callum Paterson
2018-12-15,Wolverhampton Wanderers,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,2,0,H,1,0,H,S Hooper,9,13,3,3,15,7,5,3,1,2,0,0,Rui Patrício,Ryan Bennett,Willy Boly,Conor Coady,Matt Doherty,Rúben Neves,Jonny,João Moutinho,Raúl Jiménez,Morgan Gibbs-White,Diogo Jota,Asmir Begovic,Steve Cook,Nathan Aké,Tyrone Mings,Andrew Surman,Jefferson Lerma,Jordon Ibe,Charlie Daniels,Junior Stanislas,Ryan Fraser,Joshua King
2018-12-16,Brighton and Hove Albion,Chelsea,,,,,,,,,,,,,,,,,,,,1,2,A,0,2,A,S Attwell,6,10,2,3,14,6,4,1,2,2,0,0,Mat Ryan,Lewis Dunk,Leon Balogun,Martín Montoya,Bernardo,Dale Stephens,Anthony Knockaert,Solly March,Davy Pröpper,Pascal Groß,Glenn Murray,Kepa Arrizabalaga,Antonio Rüdiger,Marcos Alonso,César Azpilicueta,David Luiz,Jorginho,N'Golo Kanté,Mateo Kovacic,Eden Hazard,Willian,Pedro
2018-12-16,Liverpool,Manchester United,,,,,,,,,,,,,,,,,,,,3,1,H,1,1,D,M Atkinson,36,6,11,2,6,14,13,2,0,2,0,0,Alisson,Nathaniel Clyne,Virgil van Dijk,Dejan Lovren,Andrew Robertson,Fabinho,Georginio Wijnaldum,Naby Keita,Sadio Mané,Roberto Firmino,Mohamed Salah,David de Gea,Victor Lindelöf,Eric Bailly,Ashley Young,Matteo Darmian,Marcus Rashford,Diogo Dalot,Ander Herrera,Nemanja Matic,Romelu Lukaku,Jesse Lingard
