,Name,MarketValue,Position,Teams
0,Ederson,63000000,Goalkeeper,manchester-city
1,Claudio Bravo,2250000,Goalkeeper,manchester-city
2,Arijanet Muric,1800000,Goalkeeper,manchester-city
3,Daniel Grimshaw,0,Goalkeeper,manchester-city
4,Aymeric Laporte,67500000,Centre-Back,manchester-city
5,John Stones,54000000,Centre-Back,manchester-city
6,Nicol??s Otamendi,22500000,Centre-Back,manchester-city
7,Eliaquim Mangala,9000000,Centre-Back,manchester-city
8,Vincent Kompany,7200000,Centre-Back,manchester-city
9,Philippe Sandler,2250000,Centre-Back,manchester-city
10,Pablo Mar??,720000,Centre-Back,manchester-city
11,Erik Palmer-Brown,540000,Centre-Back,manchester-city
12,Eric Garc??a,0,Centre-Back,manchester-city
13,Cameron Humphreys,0,Centre-Back,manchester-city
14,Benjamin Mendy,31500000,Left-Back,manchester-city
15,Oleksandr Zinchenko,18000000,Left-Back,manchester-city
16,Kyle Walker,45000000,Right-Back,manchester-city
17,Danilo,18000000,Right-Back,manchester-city
18,Fernandinho,10800000,Defensive Midfield,manchester-city
19,Douglas Luiz,2250000,Defensive Midfield,manchester-city
20,Luke Brattan,450000,Defensive Midfield,manchester-city
21,Claudio Gomes,0,Defensive Midfield,manchester-city
22,Ilkay G??ndogan,45000000,Central Midfield,manchester-city
23,Phil Foden,22500000,Central Midfield,manchester-city
24,Fabian Delph,13500000,Central Midfield,manchester-city
25,Aleix Garc??a,2700000,Central Midfield,manchester-city
26,Mix Diskerud,900000,Central Midfield,manchester-city
27,Anthony C??ceres,315000,Central Midfield,manchester-city
28,Taylor Richards,0,Central Midfield,manchester-city
29,Luke Bolton,0,Right Midfield,manchester-city
30,Kevin De Bruyne,117000000,Attacking Midfield,manchester-city
31,David Silva,18000000,Attacking Midfield,manchester-city
32,Brahim D??az,15300000,Attacking Midfield,manchester-city
33,Luka Ilic,900000,Attacking Midfield,manchester-city
34,Felix Nmecha,0,Attacking Midfield,manchester-city
35,Adri??n Bernab??,0,Attacking Midfield,manchester-city
36,Raheem Sterling,126000000,Left Winger,manchester-city
37,Leroy San??,90000000,Left Winger,manchester-city
38,Jack Harrison,3600000,Left Winger,manchester-city
39,Marlos Moreno,630000,Left Winger,manchester-city
40,Bernardo Silva,90000000,Right Winger,manchester-city
41,Riyad Mahrez,54000000,Right Winger,manchester-city
42,Patrick Roberts,4500000,Right Winger,manchester-city
43,Ian Poveda,0,Right Winger,manchester-city
44,Gabriel Jesus,63000000,Centre-Forward,manchester-city
45,Sergio Ag??ero,58500000,Centre-Forward,manchester-city
0,Kepa,54000000,Goalkeeper,fc-chelsea
1,Willy Caballero,900000,Goalkeeper,fc-chelsea
2,Eduardo,675000,Goalkeeper,fc-chelsea
3,Jamal Blackman,450000,Goalkeeper,fc-chelsea
4,Rob Green,225000,Goalkeeper,fc-chelsea
5,Jamie Cumming,0,Goalkeeper,fc-chelsea
6,Marcin Bulka,0,Goalkeeper,fc-chelsea
7,Antonio R??diger,45000000,Centre-Back,fc-chelsea
8,Andreas Christensen,27000000,Centre-Back,fc-chelsea
9,Kurt Zouma,22500000,Centre-Back,fc-chelsea
10,David Luiz,18000000,Centre-Back,fc-chelsea
11,Ethan Ampadu,9000000,Centre-Back,fc-chelsea
12,Gary Cahill,7200000,Centre-Back,fc-chelsea
13,Kenneth Omeruo,4500000,Centre-Back,fc-chelsea
14,Tomas Kalas,3600000,Centre-Back,fc-chelsea
15,Michael Hector,2700000,Centre-Back,fc-chelsea
16,Matt Miazga,2700000,Centre-Back,fc-chelsea
17,Marc Guehi,0,Centre-Back,fc-chelsea
18,Marcos Alonso,36000000,Left-Back,fc-chelsea
19,Emerson,13500000,Left-Back,fc-chelsea
20,Abdul Rahman Baba,4500000,Left-Back,fc-chelsea
21,C??sar Azpilicueta,31500000,Right-Back,fc-chelsea
22,Ola Aina,9000000,Right-Back,fc-chelsea
23,Todd Kane,900000,Right-Back,fc-chelsea
24,Jorginho,58500000,Defensive Midfield,fc-chelsea
25,Tiemou?? Bakayoko,31500000,Defensive Midfield,fc-chelsea
26,N'Golo Kant??,90000000,Central Midfield,fc-chelsea
27,Mateo Kovacic,31500000,Central Midfield,fc-chelsea
28,Ross Barkley,27000000,Central Midfield,fc-chelsea
29,Ruben Loftus-Cheek,27000000,Central Midfield,fc-chelsea
30,Cesc F??bregas,13500000,Central Midfield,fc-chelsea
31,Mario Pasalic,9000000,Central Midfield,fc-chelsea
32,Marco van Ginkel,9000000,Central Midfield,fc-chelsea
33,Danny Drinkwater,7200000,Central Midfield,fc-chelsea
34,Lewis Baker,3600000,Central Midfield,fc-chelsea
35,Conor Gallagher,0,Central Midfield,fc-chelsea
36,George McEachran,0,Central Midfield,fc-chelsea
37,Davide Zappacosta,13500000,Right Midfield,fc-chelsea
38,Victor Moses,9900000,Right Midfield,fc-chelsea
39,Danilo Pantic,2480000,Attacking Midfield,fc-chelsea
40,Charly Musonda Jr.,1800000,Attacking Midfield,fc-chelsea
